Season,Episode,Half/Topic,Person/Speaker,Media Type,Name,Artist
1,5,Housekeeping,Sri,Person,N/A,Jiro Horikoshi
1,5,1,Sri,Music,N/A,Kanye West
1,5,1,Sri,Album,ye,Kanye West
1,5,1,Sri,Album,Kids See Ghosts,Kid Cudi and Kanye West
1,5,1,Sak,Person,N/A,Dan Harmon
1,5,1,Sak,Person,N/A,John Mayer
1,5,1,Sri,Video,Breaking down How Indians Do Timepass by Kanan Gill | Journey Of A Joke,Abish Matthew
1,5,1,Sri,Stand-up Comedy,"Yours Sincerely, Kanan Gill",Netflix; Kanan Gill
1,5,1,Sak,Music,N/A,The Beatles
1,5,1,Sak,Music,N/A,Oasis
1,5,1,Sak,Music,N/A,Blur
1,5,2,Sri,Comic Book,Batman Beyond,DC Comics
1,5,2,Sri,Comic Book,JLA,DC Comics
1,5,2,Sri,Comic Book,N/A,Amar Chitra Katha
1,5,2,Sri,Comic Book,Ekalavya,Amar Chitra Katha
1,5,2,Sri,Comic Book,Nala and Damayanti,Amar Chitra Katha
1,5,2,Sak,Comic Book,Karna,Amar Chitra Katha
1,5,2,Sak,Comic Book,Akbar and Birbal,Amar Chitra Katha
1,5,2,Sak,Comic Book,Tenali Raman,Amar Chitra Katha
1,5,2,Sri,Comic Book,Jataka Tales,Amar Chitra Katha
1,5,2,Sri,Comic Book,Ashoka,Amar Chitra Katha
1,5,2,Sri,Comic Book,Swami Vivekananda,Amar Chitra Katha
1,5,2,Sak,Comic Book,Nasruddin Hoja,Amar Chitra Katha
1,5,2,Sri,Comic Book,N/A,Tinkle
1,5,2,Sak,Comic Book,Kalia the Crow,Tinkle
1,5,2,Sak,Comic Book,Suppandi,Tinkle
1,5,2,Sak,Comic Book,Shikari Shambu,Tinkle
1,5,2,Sak,Youtube Channel,The Viral Fever,Arunabh Kumar
1,5,2,Sak,Comic Book,N/A,Indusverse
1,5,2,Sri,Comic Book,Tintin,Hergé
1,5,2,Sri,Comic Book,Astérix,René Goscinny and Albert Uderzo
1,5,Closing,Sak,Album,Nada Personal,Juan Pablo Vega
1,5,Closing,Sri,Album,MY WOMAN,Angel Olsen
1,6,Housekeeping,Sri,Comic Book,N/A,Indusverse
1,6,1,Sak,Temple,N/A,Tirupati
1,6,1,Sak,Temple,N/A,Siddhivinayak
1,6,1,Sri,Place,N/A,Spiti Valley
1,6,2,Sak,Person,N/A,Vincent Van Gogh
1,6,2,Sak,Art,Mona Lisa,Leonardo Da Vinci
1,6,2,Sri,Person,N/A,Andy Warhol
1,6,2,Sri,Art,Cambell's Soup Cans,Andy Warhol
1,6,2,Sri,Art,Marilyn Diptych,Andy Warhol
1,6,2,Sri,Album,The Velvet Underground & Nico,The Velvet Underground & Nico
1,6,2,Sri,Person,N/A,Lou Reed
1,6,2,Sri,Book ,The Da Vinci Code,Dan Brown
1,6,2,Sri,Music,Punk Rock,N/A
1,6,2,Sri,Person,N/A,Banksy
1,6,2,Sri,Art,Chicago Picasso,Pablo Picasso
1,6,2,Sri,Music,N/A,Cecil Taylor
1,6,2,Sri,Music,N/A,Ornette Coleman
1,6,Closing,Sri,Show,The Last Dance,Netflix
1,6,Closing,Sak,Album,"Lead Feet, Paper Shoes",Spud in the Box
